h3_index,hazard_baseline,hazard_enhanced,vulnerability,risk_baseline,risk_enhanced,risk_category,burned
89283000387ffff,0.699510751174326,0.9283878809612912,0.10843450703690227,0.07585110347060126,0.10066928221107192,Low,0
8928300038fffff,0.7594459729275366,0.9235657434573729,0.10947335153156171,0.0831390959635251,0.10110583729601712,Low,0
89283000397ffff,0.9021621267219608,0.9202897341427699,0.10172269225965469,0.09177036038485362,0.09361434941592442,Low,0
892830003a3ffff,0.7916618151784524,0.933156611970477,0.17874554685067706,0.1415060240748721,0.16679758890398796,Low,0
892830003a7ffff,0.8073789436902188,0.9369538124648599,0.1765371795018981,0.14253240150829302,0.16540718337609672,Low,0
892830003abffff,0.8217112748818989,0.9367250973778813,0.18377447640855946,0.15100955930043083,0.17214616430937701,Low,0
892830003afffff,0.7996142016317996,0.9244528386005634,0.18230135141098466,0.14577074956489267,0.16852900179260358,Low,0
892830003b3ffff,0.9632544474530742,0.945019749330859,0.1855495053049767,0.17873138620773657,0.17534794699177395,Low,0
892830003b7ffff,0.8206352628378201,0.9483610491537406,0.18679389356076723,0.15328965593874,0.17714805287280136,Low,0
892830003bbffff,0.8007571187635341,0.9425537625910885,0.18145089923182456,0.14529809926592818,0.17102722779649268,Low,0
892830003c7ffff,0.7228341077874761,0.9660757646592762,0.060002614857664914,0.043371936575555776,0.057967072030174684,Low,0
89283000413ffff,0.719039333816806,0.9220487183633777,0.06596026276767464,0.047428023398850244,0.060818575747846014,Low,0
89283000417ffff,0.9047897615032087,0.943343007507333,0.09806781730612975,0.08873075703155338,0.09251158971724412,Low,0
89283000433ffff,0.5084516754410957,0.9083283146516076,0.05999999786702226,0.030507099441949636,0.054499696941652374,Low,0
89283000483ffff,0.8459464848862299,0.928547725096117,0.17336362550207735,0.1466563496006151,0.1609764000743691,Low,0
89283000487ffff,0.7407512602615763,0.9165014753887752,0.18231257051188107,0.1350482663682034,0.16708973985605913,Low,0
8928300048bffff,0.7059902951737792,0.9183026930780225,0.1210927130987092,0.08549028026395146,0.11119976455066899,Low,0
8928300048fffff,0.9433394817859013,0.9347964079249258,0.17638939682628055,0.1663950821946312,0.16488817454925137,Low,0
89283000493ffff,0.9345578856768384,0.920920698064503,0.11663048426486444,0.10899793878003748,0.1074074269848,Low,0
89283000497ffff,0.9612282990689325,0.9247493970834029,0.18376288203920393,0.17663808253454888,0.1699346143720623,Low,0
8928300049bffff,0.5699906791910903,0.9330453384826142,0.05999999786702226,0.034199439535687985,0.05598271831879191,Low,0
892830004a3ffff,0.8275472194012795,0.9373500703010024,0.17953395682507875,0.14857282675870329,0.1682861670514047,Low,0
892830004a7ffff,0.958812147463995,0.919826806182515,0.18000599293218397,0.17259193263969602,0.16557433757252316,Low,0
892830004abffff,0.7362502901471731,0.91373557393699,0.08235293883009362,0.06063237510812883,0.07524880982731343,Low,0
892830004afffff,0.8392415332104696,0.9112577093941489,0.16287129643278517,0.1366883565342275,0.14841772451339522,Low,0
892830004b3ffff,0.9571386965855915,0.931548051757648,0.2296469851016801,0.21980401599503285,0.2139272015634877,Very High,0
892830004b7ffff,0.8182139886458291,0.9459431614193338,0.18263395855462114,0.1494336596911536,0.1727613441376859,Low,0
892830004bbffff,0.8073654768698821,0.9288403776552112,0.21855064701796514,0.1764502473498807,0.2029986655129575,Moderate,0
89283000503ffff,0.7896349191991718,0.9216087398597875,0.17776902888878277,0.14037263276270923,0.16383349070028924,Low,0
89283000507ffff,0.8039482979361083,0.9408335482721895,0.17776897385122256,0.14291706395353893,0.16725101444115179,Low,0
8928300050bffff,0.9543883937485722,0.9248442438964364,0.1837296054089582,0.1753494029903146,0.16992126799583854,Low,0
8928300050fffff,0.8142834299107613,0.9241095194458635,0.17925871685163292,0.14596740279934964,0.1656546866862446,Low,0
89283000513ffff,0.960012551932413,0.9434015711645078,0.1837289507038743,0.17638209882909087,0.17333018076244142,Low,0
